2025-05-26 15:03:06.8129 | ERROR | InvSis.Data.ProductosDataAccess | Error al obtener productos System.ArgumentException: Column 'costo_unitario' does not belong to table .
   at System.Data.DataRow.GetDataColumn(String columnName)
   at System.Data.DataRow.get_Item(String columnName)
   at InventariosCore.Data.ProductosDataAccess.ObtenerProductos(Boolean soloActivos) in C:\Users\esqui\OneDrive\Documents\8 SEMESTRE\programacion version pendiente de apii\InventariosCore\Data\ProductosDataAccess.cs:line 401System.ArgumentException: Column 'costo_unitario' does not belong to table .
   at System.Data.DataRow.GetDataColumn(String columnName)
   at System.Data.DataRow.get_Item(String columnName)
   at InventariosCore.Data.ProductosDataAccess.ObtenerProductos(Boolean soloActivos) in C:\Users\esqui\OneDrive\Documents\8 SEMESTRE\programacion version pendiente de apii\InventariosCore\Data\ProductosDataAccess.cs:line 401
2025-05-26 15:03:08.0173 | INFO | InvSis.Data.UsuariosDataAccess | UsuariosDataAccess inicializado correctamente 
2025-05-26 15:03:08.1174 | INFO | InvSis.Data.RolesDataAccess | Se obtuvieron 6 roles de la base de datos 
2025-05-26 15:03:08.2616 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 7 
2025-05-26 15:03:08.3616 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 5 
2025-05-26 15:03:08.4600 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 4 
2025-05-26 15:03:08.5704 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 1 
2025-05-26 15:03:08.6691 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 5 
2025-05-26 15:03:08.7673 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 4 
2025-05-26 15:03:08.8697 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 6 
2025-05-26 15:03:08.9701 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 6 
2025-05-26 15:03:09.0682 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 1 
2025-05-26 15:03:09.1669 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-26 15:03:09.2661 | INFO | InvSis.Data.UsuariosDataAccess | Se obtuvieron 5 usuarios 
2025-05-26 15:03:09.3925 | INFO | InvSis.Data.ProductosDataAccess | Se obtuvieron 3 productos 
2025-05-26 15:04:31.7057 | INFO | InvSis.Data.UsuariosDataAccess | UsuariosDataAccess inicializado correctamente 
2025-05-26 15:04:31.8257 | INFO | InvSis.Data.PersonasDataAccess | Se obtuvieron 5 personas de la base de datos 
2025-05-26 15:04:31.9415 | INFO | InvSis.Data.RolesDataAccess | Se obtuvieron 6 roles de la base de datos 
2025-05-26 15:04:32.0419 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 7 
2025-05-26 15:04:32.1408 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 5 
2025-05-26 15:04:32.2383 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 4 
2025-05-26 15:04:32.3380 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 1 
2025-05-26 15:04:32.4364 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 5 
2025-05-26 15:04:32.5357 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 4 
